station_name,label
E 74 St & 1 Ave,2
E 75 St & 3 Ave,1
E 76 St & Park Ave,0
E 77 St & 3 Ave,2
E 78 St & 2 Ave,1
E 81 St & 2 Ave,1
E 81 St & 3 Ave,2
E 81 St & Park Ave,2
E 81 St & York Ave,1
E 82 St & East End Ave,1
E 84 St & 1 Ave,1
E 84 St & Park Ave,1
E 85 St & 3 Ave,2
E 85 St & York Ave,1
E 88 St & 1 Ave,1
E 88 St & Park Ave,2
E 89 St & 3 Ave,1
E 89 St & York Ave,1
E 9 St & Avenue C,1
E 91 St & 2 Ave,1
E 91 St & Park Ave,1
E 93 St & 2 Ave,2
E 95 St & 3 Ave,2
E 97 St & 3 Ave,2
E 97 St & Madison Ave,2
E 98 St & Park Ave,0
East End Ave & E 86 St,1
Eastern Pkwy & Franklin Ave,1
Eastern Pkwy & Washington Ave,2
Eldert St & Bushwick Ave,2
Emerson Pl & Myrtle Ave,1
Engert Ave & McGuinness Blvd,1
Essex Light Rail,2
Evergreen Ave & Noll St,2
FDR Drive & E 35 St,1
Fairmount Ave,1
Fairview Ave & Linden St,2
Flushing Ave & Vanderbilt Ave,0
Flushing Ave & Woodward Ave,2
Forest Ave & Summerfield St,2
Forsyth St & Broome St,2
Forsyth St & Canal St,2
Franklin Ave & Empire Blvd,2
Franklin Ave & Myrtle Ave,2
Franklin Ave & St Marks Ave,1
Franklin St & Dupont St,1
Franklin St & W Broadway,2
Frederick Douglass Blvd & W 112 St,1
Frederick Douglass Blvd & W 115 St,2
Frederick Douglass Blvd & W 117 St,2
Frederick Douglass Blvd & W 129 St,2
Front St & Gold St,2
Front St & Jay St,0
Front St & Maiden Ln,0
Front St & Washington St,0
Frost St & Debevoise Ave,2
Frost St & Meeker Ave,2
Fulton St & Adams St,0
Fulton St & Broadway,0
Fulton St & Clermont Ave,1
Fulton St & Irving Pl,1
Fulton St & Utica Ave,2
Fulton St & Waverly Ave,2
Fulton St & William St,2
Gansevoort St & Hudson St,0
Garfield Pl & 8 Ave,1
George St & Wilson Ave,2
Glenwood Ave,2
Graham Ave & Conselyea St,2
Graham Ave & Grand St,1
Graham Ave & Herbert St,1
Graham Ave & Withers St,2
Grand Army Plaza & Central Park S,0
Grand Army Plaza & Plaza St West,2
Grand Ave & Bergen St,1
Grand Concourse & E 144 St,2
Grand St,2
Grand St & Elizabeth St,2
Grand St & Greene St,2
Grand St & Havemeyer St,2
Great Jones St,0
Green St & McGuinness Blvd,2
Greene Av & Myrtle Av,2
Greene Ave & Grandview Ave,2
Greene Ave & Nostrand Ave,1
Greene Ave & Throop Ave,1
Greenpoint Ave & Manhattan Ave,2
Greenwich Ave & 8 Ave,2
Greenwich Ave & Charles St,2
Greenwich St & W Houston St,0
Grove St & Broadway,1
Grove St PATH,0
Halsey St & Broadway,2
Halsey St & Evergreen Ave,2
Halsey St & Tompkins Ave,1
Hamilton Park,1
Hancock St & Bedford Ave,1
Hancock St & Wyckoff Ave,2
Hanson Pl & Ashland Pl,2
Harborside,0
Harman St & Seneca Ave,2
Harrison Pl & Porter Ave,2
Harrison St & Hudson St,2
Hart St & Wyckoff Ave,2
Heights Elevator,2
Henry St & Atlantic Ave,1
Henry St & Bay St,2
Henry St & Degraw St,1
Henry St & Grand St,1
Henry St & Middagh St,2
Henry St & W 9 St,2
Hicks St & Montague St,1
Hilltop,2
Hoboken Ave at Monmouth St,2
Hope St & Union Ave,2
Howard St & Centre St,0
Hoyt St & Warren St,2
Hudson St & Reade St,2
Humboldt St & Varet St,2
Huron St & Franklin St,2
India St & Manhattan Ave,2
India St & West St,2
Irving Ave & DeKalb Ave,2
Irving Ave & Halsey St,2
Irving Ave & Harman St,2
Irving Ave & Jefferson St,2
Irving Ave & Palmetto St,2
JC Medical Center,2
Jackson Ave & 46 Rd,2
Jackson Square,2
Jackson St & Leonard St,2
Jay St & Tech Pl,2
Jay St & York St,0
Jefferson Ave & Evergreen Ave,2
Jefferson St & Cypress Ave,2
Jefferson St & Evergreen Ave,1
Jersey & 3rd,2
Jersey & 6th St,1
John St & William St,2
Johnson St & Gold St,2
Journal Square,0
Kane St & Clinton St,1
Kent Ave & N 7 St,2
Kent Ave & S 11 St,2
Kent St & McGuinness Blvd,2
Kingsland Ave & Nassau Ave,1
Kingston Ave & Herkimer St,1
Knickerbocker Ave & Cooper St,2
Knickerbocker Ave & George St,2
Knickerbocker Ave & Halsey St,2
Knickerbocker Ave & Hancock St,1
Knickerbocker Ave & Thames St,2
Kosciuszko St & Nostrand Ave,2
Kosciuszko St & Tompkins Ave,1
LaGuardia Pl & W 3 St,2
Lafayette Ave & Classon Ave,2
Lafayette Ave & Fort Greene Pl,2
Lafayette Ave & St James Pl,2
Lafayette Park,2
Lafayette St & E 8 St,0
Lafayette St & Jersey St,0
Laight St & Hudson St,0
Lawrence St & Willoughby St,0
Lefferts Pl & Franklin Ave,2
Lenox Ave & W 111 St,2
Lenox Ave & W 115 St,2
Lenox Ave & W 117 St,2
Lenox Ave & W 126 St,2
Lenox Ave & W 130 St,1
Leonard Gordon Park,2
Leonard St & Boerum St,2
Leonard St & Church St,2
Leonard St & Maujer St,1
Leonard St & Nassau Ave,2
Lewis Ave & Decatur St,1
Lewis Ave & Kosciuszko St,1
Lewis Ave & Madison St,1
Lexington Ave & Classon Ave,1
Lexington Ave & E 111 St,2
Lexington Ave & E 120 St,2
Lexington Ave & E 127 St,2
Lexington Ave & E 128 St,2
Lexington Ave & E 26 St,2
Lexington Ave & E 29 St,2
Lexington Ave & E 36 St,1
Liberty Light Rail,1
Liberty St & Broadway,0
Lincoln Ave & E 134 St,2
Lincoln Ave & E 138 St,2
Lincoln Park,2
Lincoln Pl & Classon Ave,1
Linden St & Knickerbocker Ave,2
Lispenard St & Broadway,2
Little West St & 1 Pl,2
Lorimer St & Broadway,2
Lorimer St & Calyer St,2
MacDougal St & Prince St,2
