station_name,label
"Lincoln's Inn Fields, Holborn",0
"Lindfield Street, Poplar",1
"Lisson Grove, St. John's Wood",1
"Little Argyll Street, West End",0
"Little Brook Green, Brook Green",1
"Liverpool Road (N1 Centre), Angel",1
"Lollard Street, Vauxhall",2
"London Zoo Car Park, The Regent's Park",2
"London Zoo,  The Regent's Park",1
"Long Lane , Bermondsey",1
"Longford Street, The Regent's Park",0
"Lord's, St. John's Wood",1
"Lots Road, West Chelsea",1
"Lower Marsh, Waterloo",0
"Lower Thames Street, Monument",0
"Macclesfield Rd, St Lukes",1
"Maclise Road, Olympia",1
"Maida Vale, Maida Vale",2
"Malet Street, Bloomsbury",2
"Mallory Street, Marylebone",0
"Malmesbury Road, Bow",1
"Manbre Road, Hammersmith",1
"Manresa Road, Chelsea",0
"Maplin Street, Mile End",1
"Margery Street, Clerkenwell",1
"Marloes Road, Kensington",1
"Marylebone Lane, Marylebone",0
"Merchant Street, Bow",1
"Mexfield Road, East Putney",1
"Michael Road, Walham Green",1
"Mile End Park Leisure Centre, Mile End",1
"Mile End Stadium, Mile End",1
"Millbank Tower, Pimlico",0
"Millennium Hotel, Mayfair",0
"Millharbour, Millwall",1
"Milroy Walk, South Bank",2
"Monier Road, Hackney Wick",1
"Montpelier Street, Knightsbridge",0
"Montserrat Road , Putney",1
"Monument Street, Monument",0
"Moor Street, Soho",0
"Moorfields, Moorgate",0
"Morie Street, Wandsworth",1
"Mostyn Grove, Bow",1
"Mudchute DLR, Cubitt Town",1
"Murray Grove , Hoxton",1
"Museum of London, Barbican",0
"Nantes Close, Wandsworth",1
"Napier Avenue, Millwall",1
"Natural History Museum, South Kensington",1
"Naval Row, Blackwall",1
"Nesham Street, Wapping",1
"Nevern Place, Earl's Court",1
"Neville Gill Close, Wandsworth",1
"New Cavendish Street, Marylebone",2
"New Fetter Lane, Holborn",0
"New Globe Walk, Bankside",1
"New Inn Yard, Shoreditch",1
"New Kent Road, The Borough",1
"New North Road 1, Hoxton",1
"New North Road 2, Hoxton",1
"New Road 1 , Whitechapel",1
"New Spring Gardens Walk, Vauxhall",1
"Newby Place, Poplar",1
"Newgate Street , St. Paul's",0
"Newton Street, Covent Garden",0
"Normand Park, West Kensington",1
"Normandy Road, Stockwell",1
"North Audley Street, Mayfair",0
"North Wharf Road, Paddington",1
"Northdown Street, King's Cross",1
"Northfields, Wandsworth",1
"Northington Street , Holborn",1
"Northumberland Avenue, Strand",0
"Norton Folgate, Liverpool Street",2
"Notting Hill Gate Station, Notting Hill",2
"Nutford Place, Marylebone",1
"Old Brompton Road, South Kensington",1
"Old Ford Road, Bethnal Green",1
"Old Montague Street, Whitechapel",1
"Old Quebec Street, Marylebone",0
"Old Street Station, St. Luke's",1
"Olympia Way, Olympia",1
"Ontario Street, Elephant & Castle",1
"Orbel Street, Battersea",1
"Ormonde Gate, Chelsea",1
"Orsett Terrace, Bayswater",1
"Osiers Road, Wandsworth",1
"Ossulston Street, Somers Town",1
"Oxford Road, Putney",1
"Paddington Green, Paddington",1
"Paddington Street, Marylebone",0
"Page Street, Westminster",0
"Palace Gardens Terrace, Notting Hill",1
"Palace Gate, Kensington Gardens",0
"Palissy Street, Shoreditch",1
"Pall Mall East, West End",2
"Pancras Road, King's Cross",1
"Panton Street, West End",0
"Park Lane , Hyde Park",1
"Park Lane, Mayfair",0
"Park Road (Baker Street), The Regent's Park",1
"Park Street, Bankside",1
"Parkway, Camden Town",1
"Parson's Green , Parson's Green",1
"Parsons Green Station, Parsons Green",1
"Pembridge Villas, Notting Hill",1
"Penfold Street, Marylebone",1
"Pennington Street, Wapping",1
"Penywern Road, Earl's Court",1
"Percival Street, Finsbury",1
"Peterborough Road, Sands End",1
"Phene Street, Chelsea",1
"Phillimore Gardens, Kensington",1
"Philpot Street, Whitechapel",2
"Pindar Street, Liverpool Street",0
"Pitfield Street Central, Hoxton",1
"Pitfield Street North,Hoxton",1
"Plough Terrace, Clapham Junction",1
"Podium, Queen Elizabeth Olympic Park",1
"Pont Street, Knightsbridge",0
"Porchester Place, Paddington",1
"Portland Place, Marylebone",0
"Portman Square, Marylebone",0
"Pott Street, Bethnal Green",2
"Poured Lines, Bankside",1
"Preston's Road, Cubitt Town",1
"Prince Albert Road, The Regent's Park",1
"Prince Consort Road, Knightsbridge",0
"Prince of Wales Drive, Battersea Park",1
"Princedale Road , Holland Park",1
"Princes Square, Bayswater",1
"Pritchard's Road, Bethnal Green",1
"Putney Bridge Road, East Putney",1
"Putney Bridge Station, Fulham",1
"Putney Pier, Wandsworth",1
"Putney Rail Station, Putney",1
"Queen Mary's, Mile End",1
"Queen Mother Sports Centre, Victoria",1
"Queen Street 1, Bank",0
"Queen Street 2, Bank",0
"Queen Victoria Street, St. Paul's",0
"Queen's Circus, Battersea Park",1
"Queen's Gate (Central), South Kensington",2
"Queen's Gate (North), Kensington",0
"Queen's Gate (South), South Kensington",1
"Queen's Gate, Kensington Gardens",0
"Queensbridge Road, Haggerston",1
"Queensdale Road, Shepherd's Bush",1
"Queensway, Kensington Gardens",1
"Rainville Road, Hammersmith",1
"Ram Street, Wandsworth",1
"Rampayne Street, Pimlico",1
"Ranelagh Gardens, Fulham",1
"Rathbone Street, Fitzrovia",2
"Ravenscourt Park Station, Hammersmith",1
"Reardon Street, Wapping",1
"Rectory Square, Stepney",1
"Red Lion Square, Holborn",0
"Red Lion Street, Holborn",0
"Regency Street, Westminster",1
"Regent's Row , Haggerston",0
"Richmond Way, Shepherd's Bush",1
"Rifle Place, Avondale",1
"Risinghill Street, Angel",1
"River Street , Clerkenwell",1
"Riverlight North, Nine Elms",1
"Riverlight South, Nine Elms",1
"Rochester Row, Westminster",1
"Rodney Road , Walworth",1
"Roscoe Street, St. Luke's",1
"Rossmore Road, Marylebone",0
"Royal Avenue 1, Chelsea",0
"Royal Avenue 2, Chelsea",2
"Royal College Street, Camden Town",0
"Royal London Hospital, Whitechapel",0
"Russell Gardens, Olympia",1
"Russell Square Station, Bloomsbury",0
"Sackville Street, Mayfair",0
"Sadlers Sports Centre, Finsbury",1
"Sail Street, Vauxhall",1
"Salmon Lane, Limehouse",1
"Saltoun Road, Brixton",1
"Sancroft Street, Vauxhall",2
"Sandilands Road, Walham Green",1
"Santos Road, Wandsworth",2
"Sardinia Street, Holborn",0
"Saunders Ness Road, Cubitt Town",1
"Scala Street, Fitzrovia",0
"Sea Containers, South Bank",2
"Sedding Street, Sloane Square",2
"Selby Street, Whitechapel",1
"Serpentine Car Park, Hyde Park",0
"Seville Street, Knightsbridge",0
"Seymour Place, Marylebone",1
"Shadwell Station, Shadwell",1
"Sheepcote Lane, Battersea",1
"Shepherd's Bush Road North, Shepherd's Bush",2
"Shoreditch Court, Haggerston",1
"Shoreditch High Street, Shoreditch",1
"Shoreditch Park, Hoxton",1
"Shouldham Street, Marylebone",2
"Sidney Road, Stockwell",2
"Silverthorne Road, Battersea",1
"Simpson Street, Clapham Junction",2
"Sirdar Road, Avondale",1
"Sloane Avenue, Knightsbridge",0
"Smith Square, Westminster",2
"Smugglers Way, Wandsworth",1
"Snow Hill, Farringdon",0
"Snowsfields, London Bridge",1
"Soho Square , Soho",0
"Somerset House, Strand",0
"Sopwith Way, Battersea Park",1
"South Audley Street, Mayfair",0
"South Kensington Station, South Kensington",2
"South Lambeth Road, Vauxhall",1
"South Parade, Chelsea",0
"South Park, Sands End",1
"South Quay East, Canary Wharf",1
"South Wharf Road, Paddington",1
"Southampton Place, Holborn",0
"Southampton Street, Strand",0
"Southern Grove, Bow",1
"Southerton Road, Hammersmith",1
"Southwark Station 1, Southwark",1
"Southwark Station 2, Southwark",1
"Southwark Street, Bankside",1
"Southwick Street, Paddington",1
"Spanish Road, Clapham Junction",1
"Spencer Park, Wandsworth Common",1
"Spindrift Avenue, Millwall",1
"St John's Crescent, Brixton",1
"St Martins Close, Camden Town",2
"St Mary's Hospital, Paddington",1
"St. Bride Street, Holborn",0
"St. Chad's Street, King's Cross",1
"St. George Street, Mayfair",0
"St. George's Square, Pimlico",1
"St. James's Square, St. James's",0
"St. John Street, Finsbury",1
"St. John's Park, Cubitt Town",2
"St. John's Road, Clapham Junction",1
"St. John's Wood Church, The Regent's Park",1
